"filename", "language", "Java", "Markdown", "YAML", "Docker", "JavaScript", "CSS", "Gradle", "Java Properties", "JSON", "HTML", "comment", "blank", "total"
"/Users/victorsannicolo/WebbI - Vote App/voting-server/.gradle/8.0.2/dependencies-accessors/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/victorsannicolo/WebbI - Vote App/voting-server/.gradle/8.0.2/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/victorsannicolo/WebbI - Vote App/voting-server/.gradle/8.1.1/dependencies-accessors/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/victorsannicolo/WebbI - Vote App/voting-server/.gradle/8.1.1/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/victorsannicolo/WebbI - Vote App/voting-server/.gradle/buildOutputCleanup/cache.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/Users/victorsannicolo/WebbI - Vote App/voting-server/.gradle/vcs-1/gc.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/victorsannicolo/WebbI - Vote App/voting-server/Dockerfile", "Docker", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 5, 15
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/DecisionVote.class", "Java", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/Election.class", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/ElectionPart.class", "Java", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/IRVvote.class", "Java", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/MailService$1.class", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/MailService.class", "Java", 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 363
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/Main.class", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 170
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/Service$1.class", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/Service$2.class", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
